id,warehouse_block,mode_of_shipment,customer_care_calls,customer_rating,cost_of_shipping,prior_purchases,product_importance,gender,discount_offered(%),weight_in_gms,reached.on.time_y.n,customer_rating_category,on_time(str),loyalty_category
7628,E,Ship,5,5,223,3,low,male,5,4373,1,Very Satisfied,delayed,Low Loyal
7629,A,Ship,4,4,255,3,high,female,3,5616,0,Satisfied,on time,Low Loyal
7630,B,Ship,4,1,270,3,low,female,6,5212,0,Very dissatisfied,on time,Low Loyal
7631,C,Ship,4,2,260,2,low,male,7,5684,0,Dissatisfied,on time,Low Loyal
7632,E,Ship,5,4,225,2,low,male,8,4725,0,Satisfied,on time,Low Loyal
7633,D,Ship,4,1,237,4,low,female,4,4697,1,Very dissatisfied,delayed,Moderate Loyal
7634,E,Ship,4,5,111,4,medium,male,7,5988,1,Very Satisfied,delayed,Moderate Loyal
7635,A,Ship,5,1,230,4,medium,male,4,5363,0,Very dissatisfied,on time,Moderate Loyal
7636,B,Ship,2,4,193,2,low,female,5,5706,0,Satisfied,on time,Low Loyal
7637,C,Ship,3,4,162,4,medium,male,10,4235,0,Satisfied,on time,Moderate Loyal
7638,E,Ship,3,4,195,4,low,male,3,4743,0,Satisfied,on time,Moderate Loyal
7639,D,Ship,5,2,123,5,low,female,4,5284,0,Dissatisfied,on time,Moderate Loyal
7640,E,Ship,4,3,248,2,medium,female,10,5211,0,Neutral,on time,Low Loyal
7641,A,Ship,4,1,151,3,low,female,4,5610,1,Very dissatisfied,delayed,Low Loyal
7642,B,Ship,4,3,252,4,low,male,2,5226,0,Neutral,on time,Moderate Loyal
7643,C,Ship,5,2,134,4,low,male,5,5090,0,Dissatisfied,on time,Moderate Loyal
7644,E,Ship,3,2,189,2,medium,female,4,4160,0,Dissatisfied,on time,Low Loyal
7645,D,Ship,3,4,159,2,medium,female,6,4990,1,Satisfied,delayed,Low Loyal
7646,E,Road,4,2,173,3,medium,male,6,4963,0,Dissatisfied,on time,Low Loyal
7647,A,Road,5,5,254,2,medium,male,6,4934,0,Very Satisfied,on time,Low Loyal
7648,B,Road,5,3,241,2,medium,male,5,5666,0,Neutral,on time,Low Loyal
7649,C,Road,4,4,262,2,medium,male,1,4357,0,Satisfied,on time,Low Loyal
7650,E,Road,5,1,265,4,low,female,2,5416,1,Very dissatisfied,delayed,Moderate Loyal
7651,D,Road,6,4,201,4,low,female,8,5355,1,Satisfied,delayed,Moderate Loyal
7652,E,Road,5,2,233,4,medium,female,9,5539,0,Dissatisfied,on time,Moderate Loyal
7653,A,Road,3,1,164,10,medium,female,6,5603,0,Very dissatisfied,on time,High Loyal
7654,B,Road,4,5,180,2,medium,male,1,5622,0,Very Satisfied,on time,Low Loyal
7655,C,Road,3,4,199,3,medium,male,1,4490,1,Satisfied,delayed,Low Loyal
7656,E,Road,4,3,140,8,medium,male,8,4065,1,Neutral,delayed,High Loyal
7657,D,Road,4,5,140,2,medium,female,5,4347,1,Very Satisfied,delayed,Low Loyal
7658,E,Road,5,2,146,7,low,female,9,5631,0,Dissatisfied,on time,High Loyal
7659,A,Road,5,3,216,10,medium,male,4,4409,1,Neutral,delayed,High Loyal
7660,B,Road,3,5,159,2,high,female,9,4099,1,Very Satisfied,delayed,Low Loyal
7661,C,Road,4,4,222,3,medium,male,4,5857,0,Satisfied,on time,Low Loyal
7662,E,Road,4,3,240,8,medium,male,8,4319,1,Neutral,delayed,High Loyal
7663,D,Road,3,3,189,3,high,male,9,4278,1,Neutral,delayed,Low Loyal
7664,E,Road,3,1,252,2,low,male,9,5050,0,Very dissatisfied,on time,Low Loyal
7665,A,Road,2,2,149,4,medium,male,7,4598,0,Dissatisfied,on time,Moderate Loyal
7666,B,Road,5,4,199,5,medium,female,6,4417,1,Satisfied,delayed,Moderate Loyal
7667,C,Road,4,5,244,3,low,female,7,4172,0,Very Satisfied,on time,Low Loyal
7668,E,Flight,7,2,272,4,medium,female,8,1816,0,Dissatisfied,on time,Moderate Loyal
7669,D,Flight,5,3,269,5,low,female,3,1667,1,Neutral,delayed,Moderate Loyal
7670,E,Flight,4,1,263,5,low,female,8,1257,0,Very dissatisfied,on time,Moderate Loyal
7671,A,Flight,6,4,284,4,low,female,9,1436,0,Satisfied,on time,Moderate Loyal
7672,B,Flight,5,5,232,5,medium,female,6,1246,0,Very Satisfied,on time,Moderate Loyal
7673,C,Flight,6,5,219,5,low,female,2,1475,1,Very Satisfied,delayed,Moderate Loyal
7674,E,Flight,4,5,206,4,medium,female,1,1593,0,Very Satisfied,on time,Moderate Loyal
7675,D,Flight,5,4,242,5,medium,female,2,1717,1,Satisfied,delayed,Moderate Loyal
7676,E,Flight,5,1,250,4,medium,male,4,1438,0,Very dissatisfied,on time,Moderate Loyal
7677,A,Flight,7,4,267,4,medium,female,9,1378,1,Satisfied,delayed,Moderate Loyal
7678,B,Flight,6,3,269,4,medium,female,3,1022,0,Neutral,on time,Moderate Loyal
7679,C,Flight,3,2,189,2,medium,female,3,4617,0,Dissatisfied,on time,Low Loyal
7680,E,Flight,3,1,159,2,medium,female,3,5691,0,Very dissatisfied,on time,Low Loyal
7681,D,Flight,4,3,173,3,medium,female,2,4351,0,Neutral,on time,Low Loyal
7682,E,Flight,5,3,254,2,medium,female,5,4764,1,Neutral,delayed,Low Loyal
7683,A,Flight,5,2,241,2,medium,male,9,4965,0,Dissatisfied,on time,Low Loyal
7684,B,Flight,4,3,262,2,medium,female,3,4064,1,Neutral,delayed,Low Loyal
7685,C,Flight,5,2,265,4,low,female,7,4883,0,Dissatisfied,on time,Moderate Loyal
7686,E,Flight,6,1,201,4,low,female,5,4592,1,Very dissatisfied,delayed,Moderate Loyal
7687,D,Flight,5,4,233,4,medium,male,1,4255,1,Satisfied,delayed,Moderate Loyal
7688,E,Flight,3,4,164,10,medium,female,10,4134,0,Satisfied,on time,High Loyal
7689,A,Flight,4,2,180,2,medium,female,10,5666,1,Dissatisfied,delayed,Low Loyal
7690,B,Ship,3,2,199,3,medium,female,8,4164,1,Dissatisfied,delayed,Low Loyal
7691,C,Ship,4,4,140,8,medium,female,2,5481,0,Satisfied,on time,High Loyal
7692,E,Ship,4,3,140,2,medium,female,2,5042,0,Neutral,on time,Low Loyal
7693,D,Ship,5,2,146,7,low,male,7,5204,0,Dissatisfied,on time,High Loyal
7694,E,Ship,5,1,216,10,medium,female,2,5672,0,Very dissatisfied,on time,High Loyal
7695,A,Ship,3,5,159,2,high,female,6,4295,0,Very Satisfied,on time,Low Loyal
7696,B,Ship,4,4,222,3,medium,female,6,4199,1,Satisfied,delayed,Low Loyal
7697,C,Ship,4,1,240,8,medium,male,1,4638,0,Very dissatisfied,on time,High Loyal
7698,E,Ship,3,2,189,3,high,male,1,4997,1,Dissatisfied,delayed,Low Loyal
7699,D,Ship,3,4,252,2,low,male,6,4630,1,Satisfied,delayed,Low Loyal
7700,E,Ship,2,1,149,4,medium,female,7,5434,0,Very dissatisfied,on time,Moderate Loyal
7701,A,Ship,5,4,199,5,medium,male,6,5210,1,Satisfied,delayed,Moderate Loyal
7702,B,Ship,4,3,244,3,low,male,7,4761,0,Neutral,on time,Low Loyal
7703,C,Ship,7,3,272,4,medium,male,2,1754,0,Neutral,on time,Moderate Loyal
7704,E,Ship,5,5,269,5,low,female,6,1630,0,Very Satisfied,on time,Moderate Loyal
7705,D,Ship,4,1,263,5,low,male,1,1605,1,Very dissatisfied,delayed,Moderate Loyal
7706,E,Ship,6,4,284,4,low,female,9,1845,1,Satisfied,delayed,Moderate Loyal
7707,A,Ship,5,3,232,5,medium,female,2,1057,1,Neutral,delayed,Moderate Loyal
7708,B,Ship,6,3,219,5,low,male,9,1483,1,Neutral,delayed,Moderate Loyal
7709,C,Ship,4,4,206,4,medium,female,9,1074,1,Satisfied,delayed,Moderate Loyal
7710,E,Ship,5,3,242,5,medium,female,5,1820,0,Neutral,on time,Moderate Loyal
7711,D,Ship,5,3,250,4,medium,female,4,1111,1,Neutral,delayed,Moderate Loyal
7712,E,Ship,7,5,267,4,medium,female,10,1067,0,Very Satisfied,on time,Moderate Loyal
7713,A,Ship,6,2,269,4,medium,female,3,1665,0,Dissatisfied,on time,Moderate Loyal
7714,B,Ship,5,2,240,5,medium,male,3,1079,0,Dissatisfied,on time,Moderate Loyal
7715,C,Ship,5,2,228,5,low,male,6,1726,1,Dissatisfied,delayed,Moderate Loyal
7716,E,Ship,5,5,262,5,low,male,6,1887,1,Very Satisfied,delayed,Moderate Loyal
7717,D,Ship,6,2,306,4,low,female,1,1815,1,Dissatisfied,delayed,Moderate Loyal
7718,E,Ship,6,5,276,4,low,male,3,1136,0,Very Satisfied,on time,Moderate Loyal
7719,A,Ship,3,3,183,5,low,female,3,1504,0,Neutral,on time,Moderate Loyal
7720,B,Ship,5,1,239,5,low,male,1,1239,0,Very dissatisfied,on time,Moderate Loyal
7721,C,Ship,7,1,285,4,low,male,2,1516,0,Very dissatisfied,on time,Moderate Loyal
7722,E,Ship,5,1,229,6,low,male,9,1883,1,Very dissatisfied,delayed,Moderate Loyal
7723,D,Ship,7,4,308,5,medium,female,7,1563,1,Satisfied,delayed,Moderate Loyal
7724,E,Ship,6,1,293,4,low,female,10,1534,1,Very dissatisfied,delayed,Moderate Loyal
7725,A,Ship,6,1,247,4,low,female,4,1623,1,Very dissatisfied,delayed,Moderate Loyal
7726,B,Ship,6,2,260,5,low,female,9,1667,1,Dissatisfied,delayed,Moderate Loyal
7727,C,Ship,7,3,308,4,medium,male,6,1113,0,Neutral,on time,Moderate Loyal
7728,E,Ship,5,2,274,6,medium,male,2,1748,1,Dissatisfied,delayed,Moderate Loyal
7729,D,Ship,5,2,236,6,low,female,6,1552,0,Dissatisfied,on time,Moderate Loyal
7730,E,Ship,7,4,291,4,medium,male,1,1817,1,Satisfied,delayed,Moderate Loyal
7731,A,Ship,4,5,247,5,low,male,9,1499,0,Very Satisfied,on time,Moderate Loyal
7732,B,Ship,5,4,217,5,high,female,3,1007,1,Satisfied,delayed,Moderate Loyal
7733,C,Ship,6,2,246,4,low,male,4,1555,0,Dissatisfied,on time,Moderate Loyal
7734,E,Ship,6,3,301,4,low,female,2,1083,0,Neutral,on time,Moderate Loyal
7735,D,Ship,5,4,259,5,low,female,4,1991,1,Satisfied,delayed,Moderate Loyal
7736,E,Ship,4,2,275,5,low,female,6,1438,0,Dissatisfied,on time,Moderate Loyal
7737,A,Ship,6,2,309,4,medium,female,8,1289,1,Dissatisfied,delayed,Moderate Loyal
7738,B,Ship,5,2,232,6,medium,female,3,1540,0,Dissatisfied,on time,Moderate Loyal
7739,C,Ship,6,1,244,4,low,female,7,1007,0,Very dissatisfied,on time,Moderate Loyal
7740,E,Ship,4,4,267,5,medium,female,9,1716,1,Satisfied,delayed,Moderate Loyal
7741,D,Ship,6,1,254,4,low,female,2,1071,0,Very dissatisfied,on time,Moderate Loyal
7742,E,Ship,5,2,270,4,medium,male,8,1631,1,Dissatisfied,delayed,Moderate Loyal
7743,A,Ship,6,2,301,4,medium,male,10,1747,1,Dissatisfied,delayed,Moderate Loyal
7744,B,Ship,4,5,221,5,low,female,5,1608,1,Very Satisfied,delayed,Moderate Loyal
7745,C,Ship,5,3,243,5,low,female,9,1312,1,Neutral,delayed,Moderate Loyal
7746,E,Ship,6,4,264,4,low,male,1,1711,1,Satisfied,delayed,Moderate Loyal
7747,D,Ship,4,3,228,5,low,female,9,1044,0,Neutral,on time,Moderate Loyal
7748,E,Ship,5,1,262,5,low,female,5,1916,1,Very dissatisfied,delayed,Moderate Loyal
7749,A,Ship,4,2,270,5,medium,male,9,1167,0,Dissatisfied,on time,Moderate Loyal
7750,B,Ship,3,1,131,4,low,male,1,1628,0,Very dissatisfied,on time,Moderate Loyal
7751,C,Ship,7,1,257,4,low,male,1,1405,1,Very dissatisfied,delayed,Moderate Loyal
7752,E,Ship,4,1,245,5,medium,male,1,1472,0,Very dissatisfied,on time,Moderate Loyal
7753,D,Ship,5,5,272,5,medium,female,5,1868,1,Very Satisfied,delayed,Moderate Loyal
7754,E,Ship,6,1,284,4,low,female,7,1153,0,Very dissatisfied,on time,Moderate Loyal
7755,A,Ship,7,5,285,4,low,male,6,1591,1,Very Satisfied,delayed,Moderate Loyal
7756,B,Ship,6,3,250,4,low,male,9,1618,0,Neutral,on time,Moderate Loyal
7757,C,Ship,7,3,272,4,medium,male,7,1067,1,Neutral,delayed,Moderate Loyal
7758,E,Ship,4,3,254,5,low,female,3,1248,0,Neutral,on time,Moderate Loyal
7759,D,Ship,5,4,217,5,low,female,5,1360,1,Satisfied,delayed,Moderate Loyal
7760,E,Ship,7,5,253,4,low,male,10,1166,1,Very Satisfied,delayed,Moderate Loyal
7761,A,Ship,5,1,276,5,low,female,6,1793,0,Very dissatisfied,on time,Moderate Loyal
7762,B,Ship,4,1,241,5,low,female,4,1145,0,Very dissatisfied,on time,Moderate Loyal
7763,C,Ship,6,2,259,5,medium,male,1,1357,0,Dissatisfied,on time,Moderate Loyal
7764,E,Ship,6,4,272,4,medium,female,10,1171,1,Satisfied,delayed,Moderate Loyal
7765,D,Ship,6,1,280,4,medium,male,6,1735,1,Very dissatisfied,delayed,Moderate Loyal
7766,E,Ship,5,3,257,5,low,male,7,1090,0,Neutral,on time,Moderate Loyal
7767,A,Ship,6,3,282,4,low,male,9,1417,1,Neutral,delayed,Moderate Loyal
7768,B,Ship,6,4,268,4,medium,male,9,1354,1,Satisfied,delayed,Moderate Loyal
7769,C,Ship,5,3,238,5,high,male,10,1841,1,Neutral,delayed,Moderate Loyal
7770,E,Ship,7,4,310,4,low,male,6,1003,1,Satisfied,delayed,Moderate Loyal
7771,D,Ship,4,1,187,2,low,male,5,5691,0,Very dissatisfied,on time,Low Loyal
7772,E,Ship,3,3,167,4,medium,male,1,5301,0,Neutral,on time,Moderate Loyal
7773,A,Ship,4,3,197,4,medium,male,9,4429,0,Neutral,on time,Moderate Loyal
7774,B,Ship,6,1,214,2,low,male,5,4708,0,Very dissatisfied,on time,Low Loyal
7775,C,Ship,4,2,174,2,low,female,8,4295,0,Dissatisfied,on time,Low Loyal
7776,E,Ship,4,5,239,3,medium,male,1,5482,1,Very Satisfied,delayed,Low Loyal
7777,D,Ship,5,1,249,3,low,female,8,5940,0,Very dissatisfied,on time,Low Loyal
7778,E,Ship,5,3,141,3,low,male,2,4124,1,Neutral,delayed,Low Loyal
7779,A,Ship,5,2,179,3,medium,male,5,4325,1,Dissatisfied,delayed,Low Loyal
7780,B,Ship,3,1,253,3,high,male,8,5030,1,Very dissatisfied,delayed,Low Loyal
7781,C,Ship,2,3,219,4,low,female,9,4086,0,Neutral,on time,Moderate Loyal
7782,E,Ship,4,1,249,6,medium,male,2,5720,1,Very dissatisfied,delayed,Moderate Loyal
7783,D,Road,3,3,196,3,low,male,9,4431,0,Neutral,on time,Low Loyal
7784,E,Road,6,5,244,3,low,male,9,5634,0,Very Satisfied,on time,Low Loyal
7785,A,Road,4,2,144,3,low,male,2,4264,0,Dissatisfied,on time,Low Loyal
7786,B,Road,4,3,240,3,medium,male,6,4964,0,Neutral,on time,Low Loyal
7787,C,Road,5,4,222,3,low,male,1,4834,1,Satisfied,delayed,Low Loyal
7788,E,Road,4,4,246,3,medium,male,5,5029,1,Satisfied,delayed,Low Loyal
7789,D,Road,6,1,188,5,low,male,4,4887,0,Very dissatisfied,on time,Moderate Loyal
7790,E,Road,3,3,153,3,low,female,3,4829,0,Neutral,on time,Low Loyal
7791,A,Road,3,1,151,2,low,female,7,4437,0,Very dissatisfied,on time,Low Loyal
7792,B,Road,4,1,237,3,medium,female,8,5668,1,Very dissatisfied,delayed,Low Loyal
7793,C,Road,3,1,194,3,medium,female,4,5383,1,Very dissatisfied,delayed,Low Loyal
7794,E,Road,3,5,241,3,low,female,5,4861,1,Very Satisfied,delayed,Low Loyal
7795,D,Road,4,2,209,2,medium,male,3,5607,0,Dissatisfied,on time,Low Loyal
7796,E,Road,3,1,160,2,low,female,10,5642,1,Very dissatisfied,delayed,Low Loyal
7797,A,Road,4,4,251,2,low,male,2,4800,0,Satisfied,on time,Low Loyal
7798,B,Road,5,3,193,4,medium,female,3,5026,0,Neutral,on time,Moderate Loyal
7799,C,Road,4,4,169,3,medium,male,5,5743,0,Satisfied,on time,Low Loyal
7800,E,Road,3,5,234,2,medium,female,1,4455,1,Very Satisfied,delayed,Low Loyal
7801,D,Road,4,5,192,2,high,female,4,4518,0,Very Satisfied,on time,Low Loyal
7802,E,Road,2,5,160,4,low,female,7,5754,0,Very Satisfied,on time,Moderate Loyal
7803,A,Road,5,3,201,2,low,female,1,4548,1,Neutral,delayed,Low Loyal
7804,B,Road,4,1,260,3,low,male,9,4239,0,Very dissatisfied,on time,Low Loyal
7805,C,Flight,3,3,244,4,medium,male,10,5181,0,Neutral,on time,Moderate Loyal
7806,E,Flight,3,2,219,6,low,female,9,5263,1,Dissatisfied,delayed,Moderate Loyal
7807,D,Flight,4,2,219,4,high,female,2,4422,1,Dissatisfied,delayed,Moderate Loyal
7808,E,Flight,3,5,175,3,high,female,6,5150,0,Very Satisfied,on time,Low Loyal
7809,A,Flight,4,2,196,3,medium,female,2,4474,0,Dissatisfied,on time,Low Loyal
7810,B,Flight,3,5,230,3,high,male,4,5189,1,Very Satisfied,delayed,Low Loyal
7811,C,Flight,4,3,262,4,high,female,2,4783,1,Neutral,delayed,Moderate Loyal
7812,E,Flight,5,4,228,4,high,female,7,5913,0,Satisfied,on time,Moderate Loyal
7813,D,Flight,3,2,138,2,medium,male,8,5714,0,Dissatisfied,on time,Low Loyal
7814,E,Flight,4,1,240,3,low,female,4,4787,0,Very dissatisfied,on time,Low Loyal
7815,A,Flight,3,1,104,4,low,female,9,5211,1,Very dissatisfied,delayed,Moderate Loyal
7816,B,Flight,3,2,261,2,medium,male,10,4035,0,Dissatisfied,on time,Low Loyal
7817,C,Flight,4,3,181,3,low,male,4,4399,1,Neutral,delayed,Low Loyal
7818,E,Flight,5,2,152,3,medium,male,4,4699,1,Dissatisfied,delayed,Low Loyal
7819,D,Flight,2,2,215,5,medium,male,3,5185,1,Dissatisfied,delayed,Moderate Loyal
7820,E,Flight,5,4,266,6,medium,female,7,4486,0,Satisfied,on time,Moderate Loyal
7821,A,Flight,4,5,265,2,medium,female,9,5135,1,Very Satisfied,delayed,Low Loyal
7822,B,Flight,5,5,142,4,medium,male,8,5372,0,Very Satisfied,on time,Moderate Loyal
7823,C,Flight,5,3,169,2,low,female,1,4500,1,Neutral,delayed,Low Loyal
7824,E,Flight,3,5,257,3,medium,male,4,5196,1,Very Satisfied,delayed,Low Loyal
7825,D,Flight,3,2,142,3,low,male,9,4234,0,Dissatisfied,on time,Low Loyal
7826,E,Flight,2,4,233,4,medium,female,4,5408,0,Satisfied,on time,Moderate Loyal
7827,A,Ship,4,2,136,4,medium,male,9,5038,0,Dissatisfied,on time,Moderate Loyal
7828,B,Ship,2,2,173,3,low,female,10,4736,0,Dissatisfied,on time,Low Loyal
7829,C,Ship,3,4,221,3,low,male,10,4927,1,Satisfied,delayed,Low Loyal
7830,E,Ship,5,3,204,3,low,male,10,5610,1,Neutral,delayed,Low Loyal
7831,D,Ship,4,5,149,2,low,male,2,5724,1,Very Satisfied,delayed,Low Loyal
7832,E,Ship,2,1,166,3,medium,female,7,5990,1,Very dissatisfied,delayed,Low Loyal
7833,A,Ship,5,4,265,2,low,female,2,5164,1,Satisfied,delayed,Low Loyal
7834,B,Ship,3,1,140,2,low,female,8,5253,1,Very dissatisfied,delayed,Low Loyal
7835,C,Ship,4,3,234,3,medium,female,9,4868,1,Neutral,delayed,Low Loyal
7836,E,Ship,3,5,139,2,low,female,6,5181,0,Very Satisfied,on time,Low Loyal
7837,D,Ship,3,4,232,2,low,female,8,5629,1,Satisfied,delayed,Low Loyal
7838,E,Ship,3,5,187,4,medium,female,4,5640,0,Very Satisfied,on time,Moderate Loyal
7839,A,Ship,3,4,197,6,medium,male,3,4890,1,Satisfied,delayed,Moderate Loyal
7840,B,Ship,3,4,273,2,medium,female,5,5223,0,Satisfied,on time,Low Loyal
7841,C,Ship,3,2,201,3,medium,male,7,4890,0,Dissatisfied,on time,Low Loyal
7842,E,Ship,2,2,201,3,high,male,2,4865,1,Dissatisfied,delayed,Low Loyal
7843,D,Ship,4,3,227,3,medium,male,10,5782,1,Neutral,delayed,Low Loyal
7844,E,Ship,3,5,171,2,medium,male,1,4783,1,Very Satisfied,delayed,Low Loyal
7845,A,Ship,3,5,192,2,low,female,7,5069,1,Very Satisfied,delayed,Low Loyal
7846,B,Ship,3,1,226,3,high,male,2,4831,1,Very dissatisfied,delayed,Low Loyal
7847,C,Ship,3,4,252,2,medium,female,6,4040,1,Satisfied,delayed,Low Loyal
7848,E,Ship,4,5,177,3,medium,female,7,4243,1,Very Satisfied,delayed,Low Loyal
7849,D,Ship,3,5,211,3,medium,male,5,4058,1,Very Satisfied,delayed,Low Loyal
7850,E,Ship,6,3,170,4,low,male,1,4912,0,Neutral,on time,Moderate Loyal
7851,A,Ship,2,3,118,4,medium,male,7,5510,0,Neutral,on time,Moderate Loyal
7852,B,Ship,4,4,146,3,low,male,3,5225,1,Satisfied,delayed,Low Loyal
7853,C,Ship,3,5,150,3,high,male,6,4565,0,Very Satisfied,on time,Low Loyal
7854,E,Ship,5,5,243,3,medium,male,3,5700,1,Very Satisfied,delayed,Low Loyal
7855,D,Ship,4,4,135,3,medium,male,6,4335,1,Satisfied,delayed,Low Loyal
7856,E,Ship,4,5,209,3,low,female,6,5899,1,Very Satisfied,delayed,Low Loyal
7857,A,Ship,4,5,217,3,medium,male,2,5461,1,Very Satisfied,delayed,Low Loyal
7858,B,Ship,2,2,287,4,medium,male,10,5972,0,Dissatisfied,on time,Moderate Loyal
7859,C,Ship,2,3,239,6,medium,male,4,4022,0,Neutral,on time,Moderate Loyal
7860,E,Ship,5,2,189,2,medium,male,2,4636,1,Dissatisfied,delayed,Low Loyal
7861,D,Ship,4,2,139,3,medium,male,10,4648,0,Dissatisfied,on time,Low Loyal
7862,E,Ship,4,2,255,3,low,female,8,5865,0,Dissatisfied,on time,Low Loyal
7863,A,Ship,5,1,132,4,medium,female,4,5461,0,Very dissatisfied,on time,Moderate Loyal
7864,B,Ship,4,1,136,3,medium,female,4,5060,1,Very dissatisfied,delayed,Low Loyal
7865,C,Ship,5,3,143,3,low,male,6,4761,1,Neutral,delayed,Low Loyal
7866,E,Ship,3,4,201,2,low,female,8,4394,0,Satisfied,on time,Low Loyal
7867,D,Ship,6,5,278,5,medium,female,2,4361,1,Very Satisfied,delayed,Moderate Loyal
7868,E,Ship,4,3,213,3,medium,male,4,4367,0,Neutral,on time,Low Loyal
7869,A,Ship,2,1,202,2,medium,female,5,4456,0,Very dissatisfied,on time,Low Loyal
7870,B,Ship,4,5,240,2,medium,male,6,5045,1,Very Satisfied,delayed,Low Loyal
7871,C,Ship,5,4,223,3,low,male,7,4671,1,Satisfied,delayed,Low Loyal
7872,E,Ship,4,4,193,3,low,male,2,5975,1,Satisfied,delayed,Low Loyal
7873,D,Ship,3,1,224,3,low,male,8,4908,0,Very dissatisfied,on time,Low Loyal
7874,E,Ship,3,1,202,3,medium,female,7,5818,0,Very dissatisfied,on time,Low Loyal
7875,A,Ship,4,5,236,4,medium,male,1,4082,0,Very Satisfied,on time,Moderate Loyal
7876,B,Ship,3,3,216,4,low,female,9,5107,1,Neutral,delayed,Moderate Loyal
7877,C,Ship,3,1,229,3,medium,male,7,5324,1,Very dissatisfied,delayed,Low Loyal
7878,E,Ship,4,5,275,3,medium,male,1,5394,1,Very Satisfied,delayed,Low Loyal
7879,D,Ship,3,3,250,2,medium,female,8,5067,0,Neutral,on time,Low Loyal
7880,E,Ship,4,3,196,3,low,male,10,4433,1,Neutral,delayed,Low Loyal
7881,A,Ship,2,2,220,3,low,male,1,5289,0,Dissatisfied,on time,Low Loyal
7882,B,Ship,4,4,152,3,low,male,8,4430,0,Satisfied,on time,Low Loyal
7883,C,Ship,3,2,186,2,low,male,7,5522,0,Dissatisfied,on time,Low Loyal
7884,E,Ship,3,1,189,3,low,female,3,5866,1,Very dissatisfied,delayed,Low Loyal
7885,D,Ship,3,1,222,3,low,male,1,5362,1,Very dissatisfied,delayed,Low Loyal
7886,E,Ship,4,1,139,3,low,female,7,5317,0,Very dissatisfied,on time,Low Loyal
7887,A,Ship,5,1,169,4,low,male,6,4253,1,Very dissatisfied,delayed,Moderate Loyal
7888,B,Ship,4,3,137,3,medium,male,9,5016,0,Neutral,on time,Low Loyal
7889,C,Ship,3,1,212,6,low,male,5,5339,0,Very dissatisfied,on time,Moderate Loyal
7890,E,Ship,3,5,230,4,low,female,5,4450,1,Very Satisfied,delayed,Moderate Loyal
7891,D,Ship,3,2,262,2,low,male,7,5141,1,Dissatisfied,delayed,Low Loyal
7892,E,Ship,4,4,166,2,low,male,8,5192,0,Satisfied,on time,Low Loyal
7893,A,Ship,6,2,99,3,low,male,8,5872,0,Dissatisfied,on time,Low Loyal
7894,B,Ship,4,2,263,3,low,female,7,5395,1,Dissatisfied,delayed,Low Loyal
7895,C,Ship,5,4,223,3,low,male,8,4310,1,Satisfied,delayed,Low Loyal
7896,E,Ship,3,1,220,2,low,female,7,5653,0,Very dissatisfied,on time,Low Loyal
7897,D,Ship,3,3,242,3,medium,female,8,5915,1,Neutral,delayed,Low Loyal
7898,E,Ship,3,4,163,3,high,female,6,5912,0,Satisfied,on time,Low Loyal
7899,A,Ship,3,4,273,2,medium,male,2,4219,1,Satisfied,delayed,Low Loyal
7900,B,Ship,5,5,261,5,medium,male,9,5385,0,Very Satisfied,on time,Moderate Loyal
7901,C,Ship,5,1,179,2,low,male,8,5198,1,Very dissatisfied,delayed,Low Loyal
7902,E,Ship,5,2,182,3,low,female,10,4128,1,Dissatisfied,delayed,Low Loyal
7903,D,Ship,3,4,202,2,medium,female,6,5030,0,Satisfied,on time,Low Loyal
7904,E,Ship,5,2,154,4,low,female,8,4820,0,Dissatisfied,on time,Moderate Loyal
7905,A,Ship,4,4,224,2,low,female,8,5754,1,Satisfied,delayed,Low Loyal
7906,B,Ship,3,2,139,3,medium,male,4,5531,0,Dissatisfied,on time,Low Loyal
7907,C,Ship,3,5,256,2,medium,female,6,5375,0,Very Satisfied,on time,Low Loyal
7908,E,Ship,3,2,251,4,high,female,7,4038,0,Dissatisfied,on time,Moderate Loyal
7909,D,Ship,4,5,254,3,medium,female,10,4148,0,Very Satisfied,on time,Low Loyal
7910,E,Ship,5,1,181,3,low,female,6,5423,0,Very dissatisfied,on time,Low Loyal
7911,A,Ship,4,4,254,3,low,male,7,5637,0,Satisfied,on time,Low Loyal
7912,B,Ship,3,3,239,3,medium,male,7,4942,0,Neutral,on time,Low Loyal
7913,C,Ship,3,3,167,2,low,male,6,5101,0,Neutral,on time,Low Loyal
7914,E,Ship,4,2,192,2,low,male,9,4140,0,Dissatisfied,on time,Low Loyal
7915,D,Ship,3,2,163,2,low,female,5,5021,0,Dissatisfied,on time,Low Loyal
7916,E,Ship,3,1,213,2,low,male,6,4747,0,Very dissatisfied,on time,Low Loyal
7917,A,Ship,3,3,230,3,low,male,4,4018,1,Neutral,delayed,Low Loyal
7918,B,Ship,3,3,264,3,low,male,3,4970,0,Neutral,on time,Low Loyal
7919,C,Ship,5,1,182,2,low,male,6,4121,1,Very dissatisfied,delayed,Low Loyal
7920,E,Road,5,1,223,3,medium,female,4,4905,1,Very dissatisfied,delayed,Low Loyal
7921,D,Road,4,1,261,2,medium,female,9,4158,0,Very dissatisfied,on time,Low Loyal
7922,E,Road,4,2,248,2,low,female,10,5783,0,Dissatisfied,on time,Low Loyal
7923,A,Road,4,5,169,4,low,male,5,5347,0,Very Satisfied,on time,Moderate Loyal
